Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
HP Wet Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.31,14.51,4.57,2,1,26.5,,46,2950,11,221,No,11 + 53M + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-101-201-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-101.pdf
LP Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.17,3.82,2.74,2.1,1,26.5,,46,2950,11,221,No,11 + 53 + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-102-202-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-102.pdf
LP Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.34,4.03,4.61,2.1,1,26.5,,46,2950,11,221,No,11 + 53 + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-102-202-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-102.pdf
MP Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.16,3.81,2.74,4,1,26.5,,46,2950,11,221,No,11 + 53 + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-103-203-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-103.pdf
MP Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.31,4.01,4.61,4,1,26.5,,46,2950,11,221,No,11 + 53 + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-103-203-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-103.pdf
Steam Condensate Pumps,Steam Condensate,5.8,53.4,OH2,1,2,104,104,104,1.17,955,0.27,,,,,,0.43,2.5,5.58,3.8,3,6,1.5,23,2950,5.5,200,No,23 + 61,40,S-6,No,Level 2,Ex d/e IIB T3,NGL 3100,P-3112-05-AS,Deep Blue,EAP 40-200D-35-XA,GA\NGL-3100\P-3112-05-AS.pdf
Condensate Intertank Transfer Pump,HC Condensate,150,52,OH2,1,1,37,37,40,1,720,0.38,No,No,Yes,,No,1.4,4.8,5.3,7.1,3.9,172.2,84.4,68.7,2950,30,214,No,11 + 53,42,S-6,,,Ex n IIB T3  ,SP 09-10,143-P-101,Flowserve,4HPX10A,GA\SP-09-10\143-P-101.pdf
Slop Oil Pumps,HC,5,52,OH2,1,2,72,72,72,1.3,700,0.45,Yes,No,Yes,,No,0.41,4.08,3.98,10,1.6,6.5,2,14.7,2950,5.5,222,No,11 + 53 + 61,40,D-1,Yes,,Ex n IIB T3,SP 20-21,109-P-102-AB,IIP,OHC 25-250 R ,
Condensate Intertank Transfer Pump,HC Condensates,150,52,OH2,1,1,37,37,40,1,763,0.61,No,No,Yes,,No,0.4,3.8,4.3,6.3,,,,,,,,No,11 + 53 + 61,,S-6,,,Ex n IIB T3,SP 20-21,143-P-101,IIP,OHC 150-200,GA\SP-20-21\143-P-101.pdf
HC Sump Orum Pump,HC Condensate,15,124,VS1,8,2,30,30,48,1,1000,0.24,Yes,No,Yes,,No,0,4.66,8.67,1.16,0.4,17,6,39.5,1450,18.5,224,No,13 + 53,40,A-8,,,Ex n IIA T3,SP 09-10,107-P-104-204,Gabbioneta,VBN 250/50-8,GA\SP-09-10\107-P-104-204.pdf
Steam Condensate Pumps,Steam Condensate,36.5,51.7,OH2,1,4,100,104,107,1.17,958,0.3,No,No,No,,No,1.48,3.5,5.31,2.37,1.7,41.4,13.6,56.8,2950,15,207,No,23 + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,107-P-106-206-AB,Flowserve,2HPX10A,GA\SP-09-10\107-P-106-206-AB.pdf
Steam Condensate Pumps,Steam Condensate,36.5,51.7,OH2,1,4,100,104,107,1.17,958,0.3,No,No,No,,No,0.48,2.5,4.31,7,1.5,56,,60,2950,15,198,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,107-P-106-206-AB,IIP,OHC 50-200 ,GA\SP-20-21\107-P-106-206-AB.pdf
Depropanizer Reflux Pump,Propane,105,333.4,BB2,2,4,-1,-1,-1,21.6,433,0.07,No,No,Yes,,No,21.84,29.4,35.95,4.78,2.8,128,20,60,2970,96,350,No,11 + 53M,48,S-6,,,Ex n IIA T3,SP 09-10,107-P-107-207-AB,KSB,RPHb / 80-360/2,GA\SP-09-10\107-P-107-207-AB.pdf
Dryer Gas Scrubbing Pump,Hexane,115,50,OH2,1,2,57,57,57,0.67,626,0.22,No,No,No,Yes,Yes,0.16,0.16,3.23,7.82,2.3,143,35,70,2983,18.5,200,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-302-AB,IIP,IOH2-100-200 BE,GA\Kangan-HDPE\40-P-302-AB.pdf
Sulphur Degassing Pump,Liquid Sulphur ,126.5,28.1,VS4,1,2,135,135,155,0,1788,10,Yes,Yes,Yes,,No,0.02,0.44,4.95,4.9,2.9,140,35,58.6,1480,45,303,No,23 + 53,40,S-1,,,Ex n IIA T3,SP 09-10,108-P-102-402,Gabbioneta,SA 350/200 VI,GA\SP-09-10\108-P-102-402-102S.pdf
Sulphur Degassing Pump,Liquid Sulphur ,126.5,28.1,VS4,1,2,135,135,155,0,1788,10,Yes,Yes,Yes,,No,0.02,0.44,4.95,4.95,2.9,140,35,58.6,1480,45,303,No,23 + 53,40,S-1,,,Ex n IIA T3,SP 09-10,108-P-103-403,Gabbioneta,SA 350/200 VI,GA\SP-09-10\108-P-103-403-403S.pdf
Make Up Hexane Feed Pump,Hexane,30,50,OH2,1,2,48,48,48,0.5,665,0.35,No,No,No,Yes,No,-0.02,-0.02,3.24,7.21,1.7,32.2,8,59,2903,7.5,201,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-703,IIP,IOH2-40-200,GA\Kangan-HDPE\40-P-703.pdf
Dehydrator Feed Pump,Hexane,100,50,OH2,1,2,78,78,78,1.19,605,0.21,No,No,No,Yes,No,0.54,0.54,3.5,5.73,2,100,30,68,2938,18.5,222,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-707-AB,IIP,IOH2-80-250,GA\Kangan-HDPE\40-P-707-AB.pdf
Seal Oil Pump,Seal Oil,25,50,OH2,1,2,45,45,45,,829,12.9,No,No,No,No,No,10.1,10.1,14.2,136.3,1.45,31,7,50.3,2903,7.5,198,No,11,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-811,IIP,IOH2-40-200,GA\Kangan-HDPE\40-P-811-AB.pdf
Brine Pump,BR (30wt%),483,50,OH2,1,2,-5,-5,-5,0.02,961,4.6,No,No,No,Yes,No,0.15,0.15,4.86,11.75,6.4,520,120,78.6,2975,110,223,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-821-AB,IIP,IOH2-200-250,GA\Kangan-HDPE\40-P-821-AB.pdf
Hot Caustic Circulation Pump,Caustic Cycle,27,50,OH2,1,2,79,79,79,0.44,1007,0.442,No,No,,,No,9.48,9.48,14.42,20,1.8,,7.5,56,2930,13,205,No,11 + 62,40,S-6,,,Ex n IIB T3,Marun,10-P-2271-AB,KSB,RPH 40-231,GA\Marun\10-P-2271-AB.pdf
Gasoline Pump ,Gasoline ,16,50,OH2,1,2,69,69,69,1.55,835,0.47,No,,,,No,0.79,0.79,4.88,3,1.6,,4,48,2900,5.5,250,No,11 + 61,40,S-1,,,Ex n IIB T3,Marun,10-P-2373-AB,KSB,RPH 40-230 ,GA\Marun\10-P-2373-AB.pdf
Sour Water Sump Pump,Sour Water Sump Pump,21.5,76,VS1,4,1,48,48,131,1.01,600,1,Yes,Yes,Yes,,No,0,3.7,4.5,1.22,0.4,25,6.5,50.5,1450,15,248,No,13 + 53,40,D-1,,,Ex n IIA T3,SP 09-10,109-P-109,Gabbioneta,VBN 250/50-4,GA\SP-09-10\109-P-109.pdf
Sour Water Degassing Drum Pumps,Sour Water,17.4,50,OH2,1,2,53,53,53,1.4,986,0.52,,,,,,6.68,11.36,16.22,5,2.5,17.6,1.5,43,2950,7.5,194,No,11 + 53B,40,A-8,Yes,Level 3,Safe Area,NGL 3100,P-3185-01-AS,Deep Blue,EAP 40-200-35-IA,GA\NGL-3100\P-3185-01-AS.pdf
Amine Solution Circulation Pumps,DEA Solution,16.6,49.9,OH2,1,2,40,40,40,0.16,1023,2.2,Yes,Yes,Yes,Yes,No,0.3,42,6.4,10,1.13,13,3.6,50.1,2960,7.5,192,No,11 + 53B,40,S-8(LCB),Yes,Level 3,Ex d IIB T4,Ilam SRU,30-P-2001-AB,Roodhart,RCOH2-40-315,GA\Ilam-SRU\30-P-2001-AB.pdf
Sump Drum Pump,Sump Drum Pump,15,106,VS1,6,1,48,48,150,1.01,950,1,Yes,Yes,Yes,,No,1,2.2,6.7,15.5,0.6,19,6,41.1,1450,15,249,No,13 + 53,40,S-6,,,Ex n IIA T3,SP 09-10,110-P-103,Gabbioneta,VBN 260/50-6,GA\SP-09-10\110-P-102.pdf
Stabiliser Reflux Pumps,Hydrocarbon Condensate,2.5,49,OH2,1,4,60,60,74,9.7,642,0.21,Yes,Yes,Yes,,No,10,12.9,13.1,4.3,1.3,8.2,4.2,30,2890,3,201,No,11 + 53 + 61,48,S-8,Yes,,Ex n IIA T3,SP 09-10,103-P-102-202-AB,KSB,RPH 25-230,GA\SP-09-10\103-P-102-202-AB.pdf
Steam Condensate Pumps,Steam Condensate,23.1,49,OH2,1,4,48,165,171,7,890,0.18,No,No,No,,No,7.3,9.5,11.6,2.9,1.3,26.7,3,43,2940,15,253,No,23 + 61,44,S-6,,,Ex n IIA T3,SP 09-10,103-P-105-205-AB,KSB,RPH 40-281,GA\SP-09-10\103-P-105-205-AB.pdf
Spent Caustic Sump Pump,Spent Caustic,30,45.8,VS4,1,3,50,50,50,0.1,1137,0.02,Yes,No,No,,No,0.9,2.2,6,6.2,3.2,36,10.5,51.2,2950,15,192,No,11 + 53,40,A-8,,,Ex n IIA T3,SP 09-10,113-P-115-215-S,Gabbioneta,V1 200/50,GA\SP-09-10\113-P-115-115S-215.pdf
Propane Extractor Lean Caustic Pumps,Caustic Solution,6.2,186.2,OH6,1,4,40,40,40,0.1,1153,1.4,Yes,No,No,,No,16.3,25,36.3,7,0.71,6.2,2.3,28.1,8339,18.5,116,Yes,11 + 53 + 61,70,A-8,,,Ex n IIA T3,SP 09-10,113-P-116-216-AB,Sundyne,LMV 322Z,GA\SP-09-10\113-P-116-216.pdf
Propane Settler Water Pumps,Demineralized Water,16.9,275,OH6,1,2,45,45,45,0.1,974,0.54,Yes,No,No,,No,6,8.3,32.3,7,2.84,16.9,4.5,48.5,10344,37,114,Yes,11 + 61,70,A-7,,,Ex n IIA T3,SP 09-10,113-P-117-217,Sundyne,LMV322Z,GA\SP-09-10\113-P-117-217.pdf
Propane Regeneration Pumps,Dry Propane,10.5,189.4,OH6,1,4,40,40,40,14,474,0.09,No,No,No,,No,28.2,46.4,37,6,1.83,10.5,3.8,28.2,9373,15,109,Yes,11 + 52,70,A-8,,,Ex n IIA T3,SP 09-10,114-P-101-201-AB,Sundyne,LMV 312Z,GA\SP-09-10\114-P-101-201.pdf
HC Sump Drum Pump,HC Sump Drum Pump,15,79.4,VS1,4,2,6,6,48,1.01,856,0.29,No,No,Yes,,No,1,1.5,7.34,1.2,0.5,19,6.5,40,1450,15,250,No,13 + 53,40,A-8,,,Ex n IIA T3,SP 09-10,114-P-102-202,Gabbioneta,VBN 250/50-4,GA\SP-09-10\114-P-102-202.pdf
Propane Product Pump,Propane,96,279,BB2,2,2,-1,1,1,14,474,0.09,Yes,No,No,,No,28.3,46.5,41.3,6,2.5,120,20,59,2950,80,322,No,11 + 52,48,LTCS,,,Ex n IIA T3,SP 09-10,114-P-103-203,KSB,RPHb / 80-360/2,GA\SP-09-10\114-P-103-203.pdf
Stabilizer Reflux Pumps,Hydrocarbon Condensate,3.3,49,OH2,1,4,60,60,74,9.7,642,0.21,Yes,Yes,Yes,,No,9,11.9,12.1,4.3,2.5,3.1,0.8,14,2950,3,203,No,11 + 53 + 61,40,S-8,Yes,,Ex n IIB T3,SP 20-21,103-P-102-202-AB,Deep Blue,APIFLO-LF 32-20-200 ,GA\SP-20-21\103-P-102-202-AB.pdf
Butane Regeneration Pumps,Dry Butane,6,151,OH6,1,4,40,40,40,4.5,545,0.13,No,No,No,,No,10.1,25,18.2,6,0.78,6,2.2,24.1,8245,7.5,108,Yes,11 + 52,70,S-6,,,Ex n IIA T3,SP 09-10,115-P-101-201-AB,Sundyne,LMV 322Z,GA\SP-09-10\115-P-101-201.pdf
Butane Product Pumps,Butane,47.7,615,OH6,1,2,40,40,40,4.5,545,0.13,No,No,Yes,,No,10.1,25,42.9,6,4.3,47.7,16.9,52.3,11424,110,132,Yes,11 + 52,65,S-6,,,Ex n IIA T3,SP 09-10,115-P-103-203,Sundyne,LMV 311Z,GA\SP-09-10\115-P-103-203.pdf
Steam Condensate Pumps,Steam Condensate,23.1,49,OH2,1,4,48,165,171,7,890,0.18,No,No,No,,No,6.3,8.5,10.6,7.2,1.1,32,,50,2950,11,244,No,23 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,103-P-105-205-AB,IIP,OHC 40-250 ,GA\SP-20-21\103-P-105-205-AB.pdf
Amine HP Pump,Lean Amine,145,289,BB2,2,4,55,55,85,0.23,1039,2.06,Yes,Yes,Yes,,Yes,0.9,1.5,29.9,6.5,4.3,133,20,61,2950,250,348,No,11 + 53 + 61,48,A-8,,,Ex n IIA T3,SP 09-10,116-P-111-211-AB,KSB,RPHb / 80-360/2,GA\SP-09-10\116-P-111-211-AB.pdf
LP Flare Stacks Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,48.1,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,1.19,5.1,6.08,2.1,1.2,25,7,35.3,2950,15,206,No,11 + 53,42,S-8(LCB),,,Ex n IIB T3  ,SP 09-10,140-P-105-205-AB,Flowserve,1.5HPX10A,GA\SP-09-10\140-P-105-205-AB.pdf
LP Flare Stacks Pumps,Wet Sour HC / Sour Oily Water,20,48.1,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.19,3.87,3.02,4,1.5,29,,52,2950,7.5,195,No,11 + 53 + 61,40,S-8,Yes,,Ex n IIB T3,SP 20-21,140-P-105-205-AB,IIP,OHC 40-200 ,GA\SP-20-21\140-P-105.pdf
LP Flare Stacks Pumps,Wet Sour HC / Sour Oily Water,20,48.1,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.36,4.1,5.08,4,1.5,29,,52,2950,7.5,195,No,11 + 53 + 61,40,S-8,Yes,,Ex n IIB T3,SP 20-21,140-P-105-205-AB,IIP,OHC 40-200 ,GA\SP-20-21\140-P-105.pdf
Amine Sump Pump,Amine Sump Pump,8,73.3,VS1,2,3,55,55,55,0.23,1039,2.06,Yes,Yes,Yes,,Yes,1.03,4.6,7,6.5,2,10.5,4,29.3,2950,11,177,No,13 + 53 + 61,40,A-8,,,Ex n IIA T3,SP 09-10,116-P-115-215-S,Gabbioneta,VBN 200/50-2,GA\SP-09-10\116-P-115-115S-215.pdf
Lean MEG Booster Pump,Aqueous MEG Solution,50,46.3,OH2,1,2,5,70,85,0.2,1098,12,Yes,No,Yes,,No,0.96,2.1,5.7,6.1,2.6,52.8,16,56.5,2940,18.5,206,No,11 + 52,42,S-6,,,Ex n IIB T3  ,SP 09-10,102-P-103-AB,Flowserve,2HPX9A,GA\SP-09-10\102-P-103-AB.pdf
Lean MEG Booster Pumps,Aqueous MEG Solution,50,46.3,OH2,1,2,70,70,70,0.2,1050,2,No,Yes,,,No,-0.04,1.1,4.7,6.1,2.6,55,8,66,2950,15,188,No,11 + 52 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,102-P-103-AB,IIP,OHC 50-200 ,GA\SP-20-21\102-P-103-AB.pdf
Steam Condensate Feed Pumps,Seam Condensate Feed Pump,250,56.1,VS6,2,3,35,95,100,0.85,961,0.29,No,No,No,,No,1,2.1,6.41,1.9,2.8,380,105,60.6,1450,75,317,No,23 + 61,40,S-6,,,Ex n IIA T3,SP 09-10,121-P-102-ABC,Gabbioneta,VB 350/200-2,GA\SP-09-10\121-P-102-ABC.pdf
HP Boiler Feed Water Pumps,Boiler Feed Water,383,660,BB3,6,3,115,115,115,1.7,947,0.24,No,No,No,,No,2.6,2.6,63.9,7.48,4.4,401.5,133.3,80.1,2980,950,306,No,23 + TI + 61,90,C-6,,,Safe Area,SP 09-10,121-P-103-ABC,Flowserve,6X13DMXD-G,GA\SP-09-10\121-P-103-ABC.pdf
Lean MEG Booster Pumps,Aqueous MEG Solution,50,46.3,OH2,1,2,70,70,70,0.2,1050,2,No,Yes,,,No,-0.05,1.2,4.8,6.1,2.6,55,8,66,2950,15,188,No,11 + 52 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,102-P-103-AB,IIP,OHC 50-200 ,GA\SP-20-21\102-P-103-AB.pdf
TGT Steam Condensate Pumps,LP Condensate,103,45.7,OH2,1,2,150,150,150,4.8,917,0.18,No ,No,No,,No,4.3,7.7,8.45,5.1,4.1,128,25,67.5,2950,30,190,No,23 + 61,40,S-5,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-7-AB,DeepBlue,EAP 100K2-200-9,GA\Bushehr-Gas-Sweetening\01-130-P-7.pdf
Sea Water Booster Pumps,Sea Water,2115,103.6,BB1,1,3,13,13,35,0.06,1023,1.05,Yes,No,No,,No,1.15,2.04,11.21,9.9,6.9,2160,900,84,1450,880,580,No,11 + 61,40,D-1,,,Ex n IIA T3,SP 09-10,125-P-102-ABC,KSB,RDL / 350-620 A  ,GA\SP-09-10\125-P-102-ABC.pdf
HC Liquid Burner Feed Drum Water Pump,Water,6.9,45.4,OH2,1,1,48,48,90,1.5,1000,1,Yes,Yes,Yes,,No,1.4,5.18,6.45,3,1.1,9.1,1.9,23.9,2900,5.5,201,No,11 + 53,42,S-6,,,Ex n IIB T3  ,SP 09-10,142-P-102,Flowserve,1HPX9A,GA\SP-09-10\142-P-102.pdf
Desalinated Water Pumps,Desalinated Water,19.8,474,OH6,1,2,45,45,45,0.12,990,0.6,Yes,No,No,,No,0.97,2.11,46.98,7.72,5.44,19.8,7,48.5,14236,75,112,Yes,13 + 61,70,A-8,,,Safe Area,SP 09-10,126-P-102-AB,Sundyne,LMV 311Z,GA\SP-09-10\126-P-102-AB.pdf
Potable And Service Water Pump,Potable Water,50,140.3,OH1,1,2,33,33,50,0.05,995,0.75,No,No,No,,No,0.95,1.73,14.63,8.21,2.5,59.8,6.4,48.7,2960,55,331,No,11 + 61,40,S-5,,,Ex n IIA T3,SP 09-10,128-P-101-AB,KSB,RPH 50-360,GA\SP-09-10\128-P-101-AB.pdf
HC Liquid Burner Feed Drum Water Pump,Water,7,45.4,OH2,1,1,48,48,90,1.5,1000,1,Yes,Yes,Yes,,No,0.4,4.18,5.45,3,1.6,8.5,2,26,2950,5.5,191,No,11 + 53 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,142-P-102,Deep Blue,APIFLO-P 25K1-200 ,GA\SP-20-21\142-P-102.pdf
Cooling Water Circulating Pumps,Desalinated Water,520,54.7,BB1,1,2,2,40,40,0.07,992,0.7,Yes,No,No,,No,6.61,8.15,11.94,66.2,2.3,602.3,176.4,82.6,1460,110,409,No,11 + 61,40,S-6,,,Safe Area,SP 09-10,132-P-101-AB,Flowserve,8LPN18,GA\SP-09-10\132-P-101-AB.pdf
Condensate Hexane Pump,Hexane,2.5,45,OH2,1,2,48,48,48,0.5,680,0.38,No,No,No,Yes,No,0.43,0.43,3.25,13.8,0.6,8.7,2,24.5,2907,3,192,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-714-AB-,IIP,IOH2-25-200S1,GA\Kangan-HDPE\40-P-714-AB.pdf
Washed Hexane Pump,Mother Liqour Hexane,100,45,OH2,1,2,60,60,60,0.77,637,0.22,No,No,No,Yes,Yes,0.5,0.5,3.31,11.5,4.5,93,30,74.5,2940,15,195,No,32 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-721-AB,IIP,IOH2-80-200,GA\Kangan-HDPE\40-P-721-AB.pdf
Sour Water Pumps,Sour Water,137,45,OH2,1,2,78,78,85,0.44,973,0.36,No,Yes,Yes,No,Yes,0.2,4.24,36.6,10,5.2,157,45,76,2955,30,197,No,32 + 61,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1202-AB,CW Hydro,HB 150x100-200H,GA\Kangan-Olefin\20-P-1202-AB.pdf
LTGT Rich Solution Pump,Rich Amine Solution,369,44.8,OH2,1,4,51,51,51,1.17,1010,1.56,Yes,Yes,Yes,,No,0.62,4.44,5.06,3.19,2.5,400,60,79,1475,75,384,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-502-602-AB,IIP,OHC-200-400 ,
First & Second Sour Water Striper Reflux Pump,Sour Water,11.2,44.5,OH2,1,4,95,95,127,1.8,961,0.29,Yes,No,Yes,,No,1.36,4.21,5.55,7.48,2.54,14.5,2.2,18,2950,11,225,No,11 + 53A + 61,40,D-1,Yes,,Ex n IIB T3,SP 20-21,109-P-104-106-AB,IIP,OHC 25-250 ,
TGT Reflux Pumps,Sour Water,34,44.4,OH2,1,2,55,55,55,0.2,980,0.55,Yes ,No,Yes,,No,1.1,4,5.4,19,1.9,42,5,57.5,2950,11,182,No,11 + 53B,40,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-4-AB,DeepBlue,EAP 50K1-200-9,GA\Bushehr-Gas-Sweetening\01-130-P-4.pdf
Spent Caustic Pump ,Spent Caustic ,16,44,OH2,1,2,36,36,36,0.55,1067,1138,Yes,,,,No,0.24,0.24,4.84,4.9,1.5,,1.8,50,2900,5.5,195,No,11 + 62,40,S-8,,,Ex n IIB T3,Marun,10-P-2771-AB,KSB,RPH 40-230 ,GA\Marun\10-P-2771-AB.pdf
Utilitlies and Offsite Drain Pump,Utilities and Offsite Drain Pump,5,41.6,VS1,4,1,48,48,90,1.01,600,0.4,No,Yes,Yes,,Yes,1.1,4.6,3.2,,0.4,6.2,2,25.7,1450,5.5,195,No,13 + 53,40,A-8,,,Ex n IIA T3,SP 09-10,141-P-101,Gabbioneta,VBN 200/50-4,GA\SP-09-10\141-P-101.pdf
HC Liquid Burner Feed Pump,HC Liquid and Water,30,341,OH6,1,1,48,48,90,1.5,1070,5,Yes,Yes,Yes,,No,1.2,5.24,37.6,3.5,1.76,30,10.7,44.3,6889,80,190,Yes,11 + 53,70,S-6,,,Ex n IIB T3  ,SP 09-10,142-P-101,Sundyne,LMV 311Z,GA\SP-09-10\142-P-101.pdf
Reflux Pump,Condensed Water from Acid Gas,10,43.3,OH2,1,4,55,55,55,1.7,984,0,Yes,No,Yes,,No,2.04,6.59,6.2,2.6,1.2,11.3,1.9,31.2,2900,5.5,197,No,11 + 53 + 61,42,A-8,,,Ex n IIB T3  ,SP 09-10,116-P-112-212-AB,Flowserve,1HPX9A,GA\SP-09-10\116-P-112-212-AB.pdf
Reflux Pumps,Condensed Water From Acid Gas,10,43.3,OH2,1,4,55,55,55,1.7,984,,Yes,No,Yes,,No,1.04,5.59,5.2,2,1,10,1.5,39,2950,3,191,No,11 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,116-P-112-212-AB,IIP,OHC 25-200 ,GA\SP-20-21\116-P-112.pdf
Off-Spec Condensate Recycle Pump,Off Spec. HC Condensate,38,502,VS6,7,1,37,48,70,0.85,720,1,Yes,No,Yes,,No,1.11,2.18,36.56,,2.5,46,12,51.9,2950,90,241,No,13 + 53,40,S-6,,,Ex n IIA T3,SP 09-10,143-P-102,Gabbioneta,VBN 250/50-7,GA\SP-09-10\143-P-102.pdf
Hc Condensate Loading Pump,HC Condensate,2000,229.4,BB1,1,3,37,37,40,1,720,0.38,No,No,Yes,,No,1.3,4.6,18.9,7.5,5.8,2478.9,800,80.3,1480,1700,810,No,11 + 53,40,S-6,,,Ex n IIB T3  ,SP 09-10,143-P-103-ABC,Flowserve,14LPH34,GA\SP-09-10\143-P-103-ABC.pdf
Sump Drum Pump,Sump Drum Pump,15,105.5,VS1,6,1,48,48,48,1,1000,1,Yes,No,Yes,,No,1,4.6,7.6,10.18,0.5,19,6.3,40.7,1450,15,245,No,13 + 53,40,A-7,,,Ex n IIA T3,SP 09-10,143-P-104,Gabbioneta,VBN 250/50-6,GA\SP-09-10\143-P-104.pdf
Propane Transfer Pumps,Propane,11,355,OH6,1,2,10,45,45,16,516,0.12,No,No,No,,No,6.5,25.3,24.5,1.7,1.12,11,3.9,30.6,9168,30,151,Yes,11 + 52,70,A-8,,,Ex n IIB T3  ,SP 09-10,145-P-101-AB,Sundyne,LMV 322Z,GA\SP-09-10\145-P-101-AB.pdf
Propane Mobile Pump Package,Propane,11,291,OH6,1,1,-45,60,60,22,580,0.2,No,No,No,,No,1.2,29.3,17.8,1.7,1,11,4.2,32.7,8309,18.5,147,Yes,11 + 52,70,A-8,,,Ex n IIB T3  ,SP 09-10,145-P-102,Sundyne,LMV 322Z,GA\SP-09-10\145-P-102.pdf
Fresh MDEA Transfer Pump,MDEA,23,71.3,OH1,1,1,20,20,50,0.2,1000,100,Yes,No,Yes,,No,0.9,1.52,7.9,4,1.2,24,3,44,2950,22,233,No,11 + 61,40,S-6,,,Ex n IIA T3,SP 09-10,146-P-101,KSB,CPK / 40-250,GA\SP-09-10\146-P-101.pdf
Fresh MEG Transfer Pump,MDEA,9,30,OH1,1,1,5,50,50,0.1,1130,40,No,No,No,,No,0.88,1.5,4.1,6.2,1.2,9.3,1,24.7,2925,5.5,164,No,11 + 61,40,S-6,,,Ex n IIA T3,SP 09-10,146-P-102,KSB,CPK / 32-200,GA\SP-09-10\146-P-102.pdf
Fresh Methanol Transfer Pump,Methanol,11,42,OH1,1,1,5,50,50,0.1,850,1,No,No,No,,No,2.12,4.85,5.47,17,1.28,11.5,3,39.1,2900,5.5,184,No,11 + 61,40,S-6,,,Ex n IIA T3,SP 09-10,146-P-104,KSB,CPK / 32-200,GA\SP-09-10\146-P-104.pdf
Fresh Caustic Soda (40%) Transfer Pump,Caustic Soda (40%),24.6,115,OH1,1,1,30,50,50,0.02,1600,48,Yes,No,Yes,,No,1.1,2.15,19.2,6.3,1.7,26,4.6,24.7,2960,73,298,No,11 + 62,40,D-1,,,Ex n IIA T3,SP 09-10,146-P-105,KSB,CPK  0/ 40-315,GA\SP-09-10\146-P-105.pdf
Fresh Amine Transfer Pump,DEA,22.7,68,OH1,1,1,20,20,50,0.2,1100,100,Yes,No,Yes,,No,0.8,1.51,8.1,4.6,1.6,23.8,2.7,30.4,2945,30,237,No,11 + 61,40,S-8,,,Ex n IIA T3,SP 09-10,146-P-106,KSB,CPK E / 40-250 ,GA\SP-09-10\146-P-106.pdf
