Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Stabilization Column Side Separator Circulation Pumps,HC Oil,461,130.6,OH2,1,2,10,87,130,6.15,770,2.6,Yes,,No,,,0,1.2,4,7,3.3,530,140,67,1486,280,627,No,11 + 52,40,S-8,Yes,,Ex d IIB T4,Arvandan,0210-PA-004-5-6-AB,Deep Blue,APIFLO-P 200K5-630,GA\Arvandan\0210-PA-004-5-6-AB.pdf
Desalinated Water Pump,Desalinated Water,280,129.9,OH2,1,2,45,45,45,0.1,990,0.6,Yes,No,No,,No,13.47,13.47,2.14,7.37,4.6,350,36,70.9,2982,180,344,No,11 + 61,48,A-8,,,Ex n IIA T3,SP 09-10,126-P-101-AB,KSB,RPH / 150-360B,GA\SP-09-10\126-P-101.pdf
Propane Feed Pump,Propane,10,265,VS6,12,1,-6,-6,-6,4,537,0,No ,No,Yes,,No,4.013,19.09,18,0.5,-0.793,10,2.5,25,2950,22,173,No,14 + 52,60,S-1(LCB),No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-330-P-1,DeepBlue,LDB 10-25X12-A,GA\Bushehr-Gas-Sweetening\05-330-P-1.pdf
HP Cold Flare K.O. Drum Pumps,HC,27,127.2,OH2,1,2,-78,30,51,0.99,626,0.22,,,,,,0.3,2.6,7.62,2.7,2.1,25,3,30,2950,30,319,No,11 + 53B,40,A-7,No,Level 3,Ex d/e IIB T3 ,NGL 3100,P-3194-02-AS,Deep Blue,EAP 25-315-45-IA,GA\NGL-3100\P-3194-02-AS.pdf
Splitter Feed Pumps,C3+ Cut + Mercaptans,124.9,126.8,OH2,1,2,53,53,53,11.3,515,0.11,No,No,Yes,Yes,No,0.6,4,6.4,10,3.03,118.4,30.7,58.6,2960,55,337,No,11 + 53B,40,S-5(LCB),No,Level 3,Ex d IIB T3 ,Ilam SRU,30-P-1001-AB,Roodhart,RCOH2-80-400,GA\Ilam-SRU\30-P-1001-AB.pdf
Deethanizer Reflux Pump,Hydrocarbons,137,126,OH2,1,8,9,9,9,30,403,0.06,No,No,Yes,,No,30.1,40.29,35.1,3.11,1.73,328,35,59,1485,90,607,No,11 + 53M + 61,50,A-8,,,Ex n IIA T3,SP 09-10,105-P-102-202-302-402-AB,KSB,RPH 150-630,GA\SP-09-10\105-P-102-202-302-402-AB.pdf
Hydrocarbon Pump,Hydrocarbon (C4+),6,384,VS6,13,2,-10,20,120,2.5,570,0,No ,No,Yes,,No,2.5,7.7,23,0.8,-1.243,7.5,2,24,2950,22,170,No,14 + 52,40,S-1(LCB),No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-415-P-1-AB,DeepBlue,LDB 8.5-25X13-A,GA\Bushehr-Gas-Sweetening\05-415-P-1.pdf
Off-Spec Tank Flare K.O. Drum,Off-Spec Hydrocarbon,6.5,340,VS6,13,2,20,20,20,2.5,570,0.17,No ,No,Yes,,No,1.45,3.6,20.4,,-1.208,7.8,2,25,2950,22,162,No,14 + 52,40,A-8,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-415-P-2-AB,DeepBlue,LDB 8.5-25X13-A,
Potentially Oily Contaminated Sewer Pumps,Rain Water (POC),3.3,58,VS1,3,2,5,50,50,,1000,,No ,No,,,No,1,1.5,6,8.7,2,6.6,2,22.5,2950,7.5,158,No,14 + 61,20,S-3,No,,Ex d IIB T3 ,Bushehr Gas Sweetening,05-420-P-1-AB,DeepBlue,LDB 8.5-25X3-A-V,
Methanol Transfer Pump,Methanol (CH4OH),11,20,OH3,1,1,5,50,58,0.55,792,0,No ,No,Yes,,No,0.934,0.934,2.473,3.7,1.7,13,4,35,2950,2.2,115,No,14 + 52,20,S-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-435-P-2,DeepBlue,ANS 40X25X160-G,GA\Bushehr-Gas-Sweetening\05-435-P-2.pdf
